"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2803146302661248838",="2803146302661248838","凤球唛甜辣酱290g泰式甜辣椒酱佐餐炸鸡块披萨手抓饼蘸酱挤压瓶装","7.50","1","fqmtlj01","口味：甜辣酱290g*1瓶","null","null","交易成功","fqmtlj01",="2022080522001128231410991307","7.28","7.28","没有申请退款","无退款申请","2022-08-05 23:59:59","2022-08-06 00:00:00"
="2803537263947197601",="2803537263947197601","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","null","交易成功","null",="2022080522001171315729000364","6.56","6.56","没有申请退款","无退款申请","2022-08-05 23:59:32","2022-08-05 23:59:39"
="1635596726867134089",="1635596726867134089","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080522001112781420291807","6.56","6.56","没有申请退款","无退款申请","2022-08-05 23:59:25","2022-08-05 23:59:53"
="1635596582800575877",="1635596582800575877","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080522001173591413015739","6.90","6.90","没有申请退款","无退款申请","2022-08-05 23:58:08","2022-08-05 23:58:13"
="2803557855212933852",="2803557855212933852","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080522001102441434747425","6.56","6.56","没有申请退款","无退款申请","2022-08-05 23:57:10","2022-08-05 23:57:16"
="1635693961817078386",="1635693961817078386","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080522001144801429787186","6.56","6.56","没有申请退款","无退款申请","2022-08-05 23:57:07","2022-08-06 16:44:47"
="2803140866648116267",="2803140866648116267","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080522001119031403164623","6.90","6.90","没有申请退款","无退款申请","2022-08-05 23:54:35","2022-08-05 23:54:45"
="2802764917754780509",="2802764917754780509","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080522001139421437519527","6.90","6.90","没有申请退款","无退款申请","2022-08-05 23:53:35","2022-08-05 23:53:46"
="2802756493664099916",="2802756493664099916","味千拉面猪骨汤3袋装 带调料包鸡汤日式豚骨汤料包半干速食鲜面条","32.99","1","null","口味：猪骨汤拉面305g*3袋（经典款）","null","null","交易成功","null",="2022080522001118491431682823","32.01","32.01","没有申请退款","无退款申请","2022-08-05 23:46:30","2022-08-05 23:46:32"
="2803131470841817727",="2803131470841817727","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨冬阴功底料120g","null","null","交易成功","null",="2022080522001106631408424518","6.56","6.56","没有申请退款","无退款申请","2022-08-05 23:46:04","2022-08-05 23:46:09"
