"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1650919299830577786",="1650919299830577786","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022082222001141231434950582","6.56","6.56","没有申请退款","无退款申请","2022-08-22 18:43:52","2022-08-22 18:43:55"
="2837305191315734216",="2837305191315734216","陈克明热干面900g*2筒武汉热干面凉面碱水面挂面细扁炒面条炸酱面","35.00","1","null","null","null","null","交易成功","null",="2022082222001143991454879070","22.12","22.12","没有申请退款","无退款申请","2022-08-22 18:40:52","2022-08-22 18:41:03"
="2836922510069973535",="2836922510069973535","海底捞金汤酸汤肥牛调料包家用黄灯笼辣椒商用酸辣料理包酸菜鱼","29.70","1","null","口味：酸汤肥牛200g*3袋【送2包小米辣】","null","null","交易成功","null",="2022082222001139871446641803","28.81","28.81","没有申请退款","无退款申请","2022-08-22 18:40:04","2022-08-22 18:40:09"
="2837304687015094305",="2837304687015094305","正品海天添丁甜醋1.9L月子醋粤式广东省酸甜醋家用大桶装煲猪脚姜","50.00","1","httc002","null","null","null","交易成功","httc002",="2022082222001120661430643206","29.80","29.80","没有申请退款","无退款申请","2022-08-22 18:39:43","2022-08-22 18:39:48"
="2836919486721926941",="2836919486721926941","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022082222001108751448739041","6.56","6.56","没有申请退款","无退款申请","2022-08-22 18:39:23","2022-08-22 18:39:31"
="2837297271833102104",="2837297271833102104","辣贵妃特辣兵红烧辣椒酱280g*3瓶湖南特产剁椒酱超特辣拌面下饭菜","22.90","1","null","口味：红烧辣椒酱280g*2瓶","null","null","交易成功","null",="2022082222001114161436886538","22.90","22.90","没有申请退款","无退款申请","2022-08-22 18:38:06","2022-08-22 18:38:08"
="1650179496791209079",="1650179496791209079","安琪馒头面包改良剂15g*5袋家用馒头花卷包子蓬松增白酵母粉伴侣","5.80","1","AQZH79","颜色分类：【适用于包子馒头花卷等】馒头改良剂15g*3袋","null","null","交易成功","AQZH79",="2022082222001122221439249265","5.63","5.63","没有申请退款","无退款申请","2022-08-22 18:37:59","2022-08-22 18:38:06"
="2836576117453060122",="2836576117453060122","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.90","1","AQZH28","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布+量勺5件套）","null","null","交易成功","AQZH28",="2022082222001197541453598953","5.90","5.90","没有申请退款","无退款申请","2022-08-22 18:36:56","2022-08-22 18:36:58"
="2837295867539356453",="2837295867539356453","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022082222001132841449968881","6.56","6.56","没有申请退款","无退款申请","2022-08-22 18:36:41","2022-08-22 18:36:44"
="2836575541414692060",="2836575541413692060","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","3","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022082222001178711427480387","19.67","19.67","没有申请退款","无退款申请","2022-08-22 18:36:21","2022-08-22 18:36:32"
="2836575541415692060",="2836575541413692060","【红包福利】详情咨询客服","3.00","1","null","null","null","null","交易成功","null",="2022082222001178711427480387","0.00","0.00","没有申请退款","无退款申请","2022-08-22 18:36:21","2022-08-22 18:36:32"
="2836913366486319152",="2836913366486319152","太太乐三鲜鸡精500g*2袋替代味精三鲜鸡精家用炒菜煲汤火锅调味料","39.60","1","TTLZH13","null","null","null","交易成功","TTLZH13",="2022082222001186551439087657","39.51","39.51","没有申请退款","无退款申请","2022-08-22 18:36:06","2022-08-22 18:36:08"
="2836911962645357537",="2836911962645357537","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","8.50","1","AQZH05","颜色分类：5g*10袋【无赠品】","null","null","买家已付款，等待卖家发货","AQZH05",="2022082222001151831449162227","8.50","8.50","没有申请退款","无退款申请","2022-08-22 18:35:54","2022-08-22 18:36:03"
="1650176724807555287",="1650176724807555287","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","18.50","1","AQZH32","颜色分类：【甜味型】甜酒曲8g*30袋（无赠品）","null","null","交易成功","AQZH32",="2022082222001157521454564182","18.50","18.50","没有申请退款","无退款申请","2022-08-22 18:35:00","2022-08-22 18:35:54"
