"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2792362970028813052",="2792362970028813052","海底捞自热米饭自热锅煲仔饭即食自热宿舍快餐免煮饭方便速食食品","12.90","1","null","口味：广式煲仔饭*1盒（送香菇酱2包）","null","null","交易成功","null",="2022073122001199821423702729","12.52","12.52","没有申请退款","无退款申请","2022-07-31 23:59:56","2022-08-01 00:00:00"
="2792360054972803209",="2792360054972803209","海底捞自热米饭自热锅煲仔饭即食自热宿舍快餐免煮饭方便速食食品","12.90","1","null","口味：红烧牛肉自热米饭*1盒（送香菇酱2包）","null","null","交易关闭","null",="2022073122001195361432107577","12.52","12.52","退款成功","12.52","2022-07-31 23:59:41","2022-07-31 23:59:43"
="1631710275246129595",="1631710275246129595","太太乐三鲜鸡精100g*2袋 炒菜提鲜煲汤代替味精鸡精家用厨房调料","11.60","1","TTLZH09","null","null","null","交易成功","TTLZH09",="2022073122001186061411996522","10.48","10.48","没有申请退款","无退款申请","2022-07-31 23:59:32","2022-08-01 00:02:42"
="2792360738273824932",="2792360738273824932","王致和韭花酱320g*2瓶 商用涮羊肉烧烤蘸菜酱涮羊肉烧烤火锅蘸料","8.90","1","null","口味：韭菜花酱320g*1瓶","null","null","交易成功","null",="2022073122001110161419050568","8.64","8.64","没有申请退款","无退款申请","2022-07-31 23:59:20","2022-07-31 23:59:40"
="2792360738274824932",="2792360738274824932","海天金标蚝油360g 家用拌馅炒菜凉拌挤挤装小瓶蚝油烹饪火锅蘸料","7.50","1","htjbhy01","净含量：360g","null","null","交易成功","htjbhy01",="2022073122001110161419050567","3.00","3.00","没有申请退款","无退款申请","2022-07-31 23:59:20","2022-07-31 23:59:41"
="2791088712468814117",="2791088712467814117","草原红太阳红焖牛羊肉调味料160g*3袋红烧肉炖牛羊肉料包炒菜调料","7.90","1","null","口味：红焖牛羊肉调料160g*1袋","null","null","交易成功","null",="2022073122001119561401682039","7.67","7.67","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="2791088712469814117",="2791088712467814117","草原红太阳黄焖鸡调味料160g*3袋 家用黄焖鸡米饭闷牛肉专用酱料","8.50","1","null","口味：黄焖鸡调料160g*1袋","null","null","交易成功","null",="2022073122001119561401682039","8.25","8.25","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="2791088712470814117",="2791088712467814117","海底捞红烧肉调味料200g*2袋 家用酱料猪蹄排骨酱汁红烧肉调料包","7.90","1","null","净含量：200g;口味：红烧肉调料200g*1袋","null","null","交易成功","null",="2022073122001119561401682039","7.67","7.67","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="2791088712471814117",="2791088712467814117","仲景上海葱油酱230g*2瓶葱油汁葱油拌面酱上海炸酱面酱拌饭拌菜酱","13.80","1","null","口味：上海葱油230g*1瓶（送香菇酱2包）","null","null","交易成功","null",="2022073122001119561401682039","13.39","13.39","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="2791088712472814117",="2791088712467814117","太太乐黑椒牛柳调味料100g*3袋黑胡椒牛排烤肉酱意大利面酱调味料","8.80","1","ttlhjnl01","口味：黑椒牛柳调料100g*1袋","null","null","交易成功","ttlhjnl01",="2022073122001119561401682039","8.54","8.54","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="2791088712473814117",="2791088712467814117","海天浓香红烧汁80g*3袋家用红烧肉酱料红烧鸡块排骨酱卤专用调料","9.80","1","HTZH173","口味：【每袋3.27元】浓香红烧汁80g*3袋","null","null","交易成功","HTZH173",="2022073122001119561401682039","9.51","9.51","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="2791088712474814117",="2791088712467814117","太太乐糖醋排骨调味料100g糖醋排骨鱼糖醋里脊糖醋汁糖醋酱调味料","8.80","1","ttltcpg01","口味：【尝鲜】糖醋排骨调料100g*1袋","null","null","交易成功","ttltcpg01",="2022073122001119561401682039","7.92","7.92","没有申请退款","无退款申请","2022-07-31 23:58:33","2022-07-31 23:58:43"
="1630961328369376576",="1630961328369376576","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022073122001109481426054045","6.56","6.56","没有申请退款","无退款申请","2022-07-31 23:56:35","2022-07-31 23:56:47"
="1631733313230576980",="1631733313230576980","海底捞自热米饭自热锅煲仔饭即食自热宿舍快餐免煮饭方便速食食品","12.90","1","null","口味：红烧牛肉自热米饭*1盒（送香菇酱2包）","null","null","交易成功","null",="2022073122001123251438119972","12.52","12.52","没有申请退款","无退款申请","2022-07-31 23:55:19","2022-07-31 23:55:37"
