"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2891391876602326004",="2891391876602326004","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022091722001160291427219572","20.28","20.28","没有申请退款","无退款申请","2022-09-17 00:57:42","2022-09-17 00:57:44"
="1672772954525501199",="1672772954525501199","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","42.40","1","MJZH62","口味：【共6盒】原味牛肉2盒+玉米2盒+咖喱2盒","null","null","交易成功","MJZH62",="2022091722001158261416845295","32.40","32.40","没有申请退款","无退款申请","2022-09-17 00:55:33","2022-09-17 00:55:42"
="1672906621869605276",="1672906621869605276","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","null","交易成功","null",="2022091722001138981425202164","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:55:27","2022-09-17 00:55:39"
="2892917631756642539",="2892917631756642539","正品海天添丁甜醋1.9L月子醋粤式广东省酸甜醋家用大桶装煲猪脚姜","50.00","1","httc002","null","null","null","交易成功","httc002",="2022091722001197341401896401","28.91","28.91","没有申请退款","无退款申请","2022-09-17 00:52:44","2022-09-17 00:52:50"
="2892914103815737231",="2892914103815737231","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","9.90","1","null","口味：酸香番茄200g*1袋（3-5人份）","null","null","交易成功","null",="2022091722001108461438213797","9.41","9.41","没有申请退款","无退款申请","2022-09-17 00:47:38","2022-09-17 00:47:43"
="2892194965543304030",="2892194965543304030","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","32.80","1","MJZH34","口味：4口味各1盒（经典款）","null","null","交易成功","MJZH34",="2022091722001167061407393663","22.80","22.80","没有申请退款","无退款申请","2022-09-17 00:46:53","2022-09-17 00:46:59"
="2892194569505587205",="2892194569505587205","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001148321442192551","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:46:05","2022-09-17 00:46:10"
="2892194353289156841",="2892194353289156841","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","32.80","1","MJZH34","口味：4口味各1盒（经典款）","null","邮政 申通均可 不要用韵达 进不了校园","交易成功","MJZH34",="2022091722001144361448304223","22.80","22.80","没有申请退款","无退款申请","2022-09-17 00:44:21","2022-09-17 00:44:26"
="2892912483124564619",="2892912483124564619","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001113681412997486","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:40:25","2022-09-17 00:40:41"
="2891382588580363265",="2891382588580363265","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.50","1","AQZH31","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布）","null","null","交易成功","AQZH31",="2022091722001105761405579702","5.34","5.34","没有申请退款","无退款申请","2022-09-17 00:39:21","2022-09-17 00:39:40"
="1672096188387105791",="1672096188387105791","味千拉面猪骨汤3袋装 带调料包鸡汤日式豚骨汤料包半干速食鲜面条","34.99","1","null","口味：儿童拉面230g*3包","null","null","交易成功","null",="2022091722001195771408721838","34.99","34.99","没有申请退款","无退款申请","2022-09-17 00:36:31","2022-09-17 00:37:33"
="2891381724284770664",="2891381724284770664","太太乐糖醋排骨调味料100g糖醋排骨鱼糖醋里脊糖醋汁糖醋酱调味料","31.80","1","TTLZH15","口味：【每袋6.36元】糖醋排骨调料100g*5袋","null","null","交易成功","TTLZH15",="2022091722001177331442742183","31.32","31.32","没有申请退款","无退款申请","2022-09-17 00:36:06","2022-09-17 00:36:12"
="2892187225359881351",="2892187225359881351","正品海天海鲜酱400g小瓶装烧烤蘸料红烧肉鱼拌面调味酱油火锅调料","26.70","1","hthxj001","口味：【实惠大瓶】-.海鲜酱400g*3瓶","null","null","交易成功","hthxj001",="2022091722001107041405761238","26.70","26.70","没有申请退款","无退款申请","2022-09-17 00:34:14","2022-09-17 01:06:09"
="2891380140095193302",="2891380140095193302","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","53.20","1","MJZH58","口味：【共8盒】4口味各2盒（经典款）","null","null","交易成功","MJZH58",="2022091722001138631457722291","42.20","42.20","没有申请退款","无退款申请","2022-09-17 00:32:13","2022-09-17 00:33:47"
="1672799847378874393",="1672799847378874393","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001164331450123856","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:31:39","2022-09-17 00:31:51"
="2891379564164857933",="2891379564164857933","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","null","交易成功","null",="2022091722001149991421247363","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:31:14","2022-09-17 00:31:16"
="2892186649067829559",="2892186649067829559","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","18.00","1","null","颜色分类：5g*30袋【送馒头改良剂2包】","null","null","交易成功","null",="2022091722001122431435205059","17.10","17.10","没有申请退款","无退款申请","2022-09-17 00:31:12","2022-09-17 00:31:14"
="2892184129092436911",="2892184129092436911","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022091722001103331449396373","6.90","6.90","没有申请退款","无退款申请","2022-09-17 00:27:10","2022-09-17 00:27:19"
="1672798875167089671",="1672798875167089671","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001199481434415326","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:25:25","2022-09-17 00:25:30"
="1672764746337528770",="1672764746337528770","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022091722001194761411582392","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:25:08","2022-09-17 00:25:36"
="2891374956103829559",="2891374956103829559","安琪包子泡打粉50g*10袋无铝害泡打粉发酵面点家用馒头烘焙膨松剂","13.90","1","AQZH84","颜色分类：包子泡打粉50g*10袋（无赠品）","null","null","交易成功","AQZH84",="2022091722001122431434424018","13.49","13.49","没有申请退款","无退款申请","2022-09-17 00:24:10","2022-09-17 00:24:11"
