"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1637872212912171376",="1637872212912171376","【88狂欢价】安记排骨味王调料180g*3袋排骨粉猪骨高汤粉调料替代鸡精味精商用","8.90","1","null","净含量：180g;口味：排骨粉调味料*1袋","null","null","交易成功","null",="2022080922001102811439032005","8.64","8.64","没有申请退款","无退款申请","2022-08-09 23:59:48","2022-08-10 00:00:26"
="1638640093620252481",="1638640093620252481","安琪百钻麦芽糖500g手工搅搅糖饼干月饼拉丝糖稀麦芽糖浆烘焙专用","12.80","1","null","颜色分类：百钻麦芽糖500g*1瓶;口味：原味","null","null","交易成功","null",="2022080922001167251444326543","10.54","10.54","没有申请退款","无退款申请","2022-08-09 23:59:42","2022-08-10 00:00:05"
="2812761939352092708",="2812761939352092708","【88狂欢价】海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080922001173761425723684","6.90","6.90","没有申请退款","无退款申请","2022-08-09 23:59:37","2022-08-09 23:59:40"
="2812356074554702241",="2812356074554702241","海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","1","null","口味：原味蘸料120g*3袋","null","null","交易成功","null",="2022080922001105741420395385","11.35","11.35","没有申请退款","无退款申请","2022-08-09 23:59:23","2022-08-10 00:02:41"
="1638555170841304669",="1638555170841304669","【88狂欢价】安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","4.50","1","AQZH43","颜色分类：5g*5袋【无赠品】","null","null","交易成功","AQZH43",="2022080922001182901449027327","3.71","3.71","没有申请退款","无退款申请","2022-08-09 23:59:21","2022-08-09 23:59:30"
="2812005757868850811",="2812005757868850811","【88狂欢价】安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","4.50","1","AQZH43","颜色分类：5g*5袋【无赠品】","null","null","交易成功","AQZH43",="2022080922001138661414907263","3.71","3.71","没有申请退款","无退款申请","2022-08-09 23:59:10","2022-08-09 23:59:22"
="1638554882381204175",="1638554882380204175","【88狂欢价】海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","22.80","3","null","口味：【买就送5】清油麻辣220g+番茄底料","null","null","交易成功","null",="2022080922001164921438897122","58.35","58.35","没有申请退款","无退款申请","2022-08-09 23:58:26","2022-08-09 23:58:44"
="1638554882382204175",="1638554882380204175","【红包福利】详情咨询客服","3.00","1","null","null","null","null","交易成功","null",="2022080922001164921438897122","0.00","0.00","没有申请退款","无退款申请","2022-08-09 23:58:26","2022-08-09 23:58:44"
="1638639949114153069",="1638639949114153069","【88狂欢价】海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022080922001181941440006984","6.56","6.56","没有申请退款","无退款申请","2022-08-09 23:58:25","2022-08-09 23:58:34"
="2811114720606798620",="2811114720606798620","【88狂欢价】安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","13.90","2","AQZH22","颜色分类：耐高糖酵母5g*20袋【无赠品】","null","null","交易关闭","AQZH22",="2022080922001164491440679859","21.93","21.93","退款成功","21.93","2022-08-09 23:58:24","2022-08-09 23:58:31"
="2811114828615174123",="2811114828615174123","【88狂欢价】海底捞麻辣清油火锅底料220g四川重庆正宗串串香家用成都冒菜调料","12.90","1","null","口味：清油火锅底料220g*1袋","null","null","交易成功","null",="2022080922001198381445884016","12.56","12.56","没有申请退款","无退款申请","2022-08-09 23:58:11","2022-08-09 23:58:17"
="1638639409269511973",="1638639409269511973","【88狂欢价】安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","4.90","1","AQZH35","颜色分类：【甜味型】甜酒曲8g*5袋（无赠品）","null","null","交易成功","AQZH35",="2022080922001113001430008967","4.90","4.90","没有申请退款","无退款申请","2022-08-09 23:58:09","2022-08-09 23:58:15"
