"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1644174409163874786",="1644174409163874786","凤球唛番茄调味酱850g沙司商用手抓饼薯条披萨意大利面酱番茄酱","12.90","2","null","null","null","null","交易成功","null",="2022081422001115241419190397","21.94","21.94","没有申请退款","无退款申请","2022-08-14 23:54:39","2022-08-14 23:54:50"
="1643394900612389472",="1643394900612389472","陈克明鸡蛋风味面500g*3袋 非油炸波纹面条方便面麻辣烫火锅面条","22.90","1","null","口味：【非油炸】鸡蛋风味面500g*3袋(小包）","null","null","交易成功","null",="2022081422001186491445001407","22.22","22.22","没有申请退款","无退款申请","2022-08-14 23:54:21","2022-08-14 23:54:22"
="2821425194143286423",="2821425194143286423","陈克明鸡蛋风味面500g*3袋 非油炸波纹面条方便面麻辣烫火锅面条","15.90","1","null","口味：【非油炸】鸡蛋风味面500g*2袋(小包）","null","null","交易关闭","null",="2022081422001131041430722945","15.43","15.43","退款成功","15.43","2022-08-14 23:52:56","2022-08-14 23:52:58"
="2820195936452968104",="2820195936452968104","川南下饭辣子鸡210g四川特产麻辣鸡丁辣子鸡辣酱拌面拌饭酱辣椒酱","24.32","1","null","口味：下饭辣子鸡210g*2瓶（送铁勺1把）","null","null","交易成功","null",="2022081422001199641419911823","24.20","24.20","没有申请退款","无退款申请","2022-08-14 23:50:47","2022-08-14 23:50:48"
="1644169405735451492",="1644169405735451492","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022081422001189691422542723","6.56","6.56","没有申请退款","无退款申请","2022-08-14 23:46:17","2022-08-14 23:52:53"
="2821045105175658656",="2821045105174658656","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","38.70","1","null","口味：（不辣组合）菌汤+番茄+清汤【送火锅川粉2包】","null","null","交易成功","null",="2022081422001142001434151168","38.32","38.32","没有申请退款","无退款申请","2022-08-14 23:45:27","2022-08-14 23:45:33"
="2821045105176658656",="2821045105174658656","【红包福利】详情咨询客服","3.00","1","null","null","null","null","交易成功","null",="2022081422001142001434151168","0.00","0.00","没有申请退款","无退款申请","2022-08-14 23:45:27","2022-08-14 23:45:33"
="1643389464815598889",="1643389464815598889","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","9.90","1","AQZH21","颜色分类：耐高糖酵母5g*10袋【送蒸布+切刀】","null","null","交易成功","AQZH21",="2022081422001199291434015333","9.41","9.41","没有申请退款","无退款申请","2022-08-14 23:43:55","2022-08-14 23:43:56"
="2820187764068375136",="2820187764068375136","川崎牛油火锅底料90g小包装一人份四川麻辣调味料火锅料家用","6.90","1","6955887980607","口味：【尝鲜】牛油火锅底料90g*1盒","null","null","交易成功","6955887980607",="2022081422001178771423655484","6.70","6.70","没有申请退款","无退款申请","2022-08-14 23:41:31","2022-08-14 23:41:32"
="2820185352290478427",="2820185352290478427","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","17.90","1","null","颜色分类：5g*30袋【送馒头改良剂2包】","null","null","交易成功","null",="2022081422001154511445827873","17.17","17.17","没有申请退款","无退款申请","2022-08-14 23:39:51","2022-08-14 23:39:56"
="2821037869420287251",="2821037869420287251","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","8.90","1","AQZH30","颜色分类：【甜味型】甜酒曲8g*10袋（送蒸布）","null","null","交易成功","AQZH30",="2022081422001158301410176027","8.64","8.64","没有申请退款","无退款申请","2022-08-14 23:39:04","2022-08-14 23:39:05"
="2820178620561291720",="2820178620561291720","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.90","1","null","口味：青椒牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022081422001170751447643878","7.51","7.51","没有申请退款","无退款申请","2022-08-14 23:35:34","2022-08-14 23:35:35"
="1644127755185685472",="1644127755185685472","海天黄豆酱340g*2瓶yes豆瓣酱拌饭原味蒜蓉香辣味东北大酱小罐装","8.99","1","hthdjlw02","口味：【挤挤装】香辣味300g*1袋","null","null","交易成功","hthdjlw02",="2022081422001188181428495580","8.73","8.73","没有申请退款","无退款申请","2022-08-14 23:33:59","2022-08-14 23:34:07"
="1643383668406301098",="1643383668406301098","凤球唛番茄调味酱850g沙司商用手抓饼薯条披萨意大利面酱番茄酱","12.90","1","null","null","null","null","交易成功","null",="2022081422001189291431704712","12.52","12.52","没有申请退款","无退款申请","2022-08-14 23:30:03","2022-08-14 23:30:17"
="2821026169452770515",="2821026169452770515","海天番茄沙司305g*3袋家用挤压瓶意面酱手抓饼番茄酱薯条挤挤装","30.00","1","HTZH89","null","null","null","交易成功","HTZH89",="2022081422001185091426309102","19.35","19.35","没有申请退款","无退款申请","2022-08-14 23:28:26","2022-08-14 23:28:27"
="2821023793915802724",="2821023793915802724","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：宽挂面800g*3袋","null","null","交易成功","null",="2022081422001113961445678875","20.28","20.28","没有申请退款","无退款申请","2022-08-14 23:28:17","2022-08-14 23:28:47"
="2820171276178453456",="2820171276178453456","海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","1","null","口味：香辣蘸料120g*3袋","null","null","交易成功","null",="2022081422001199551431617579","11.51","11.51","没有申请退款","无退款申请","2022-08-14 23:27:53","2022-08-14 23:28:27"
="2820168936921950663",="2820168936921950663","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","null","交易成功","null",="2022081422001125651439880193","6.56","6.56","没有申请退款","无退款申请","2022-08-14 23:27:47","2022-08-14 23:27:52"
="2821024513537589250",="2821024513537589250","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022081422001169031415322057","6.56","6.56","没有申请退款","无退款申请","2022-08-14 23:27:35","2022-08-14 23:27:40"
="2821024261184867307",="2821024261183867307","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","12.90","1","AQZH03","颜色分类：5g*20袋【无赠品】","null","null","交易成功","AQZH03",="2022081422001191461445061658","11.31","11.31","没有申请退款","无退款申请","2022-08-14 23:26:16","2022-08-14 23:26:25"
="2821024261185867307",="2821024261183867307","海天金标蚝油360g 家用拌馅炒菜凉拌挤挤装小瓶蚝油烹饪火锅蘸料","7.50","1","htjbhy01","净含量：360g","null","null","交易成功","htjbhy01",="2022081422001191461445061658","3.00","3.00","没有申请退款","无退款申请","2022-08-14 23:26:16","2022-08-14 23:26:25"
="1644085850979976897",="1644085850979976897","味千拉面猪骨汤拉面307g*5袋半干面速食面条日式豚骨拉面带汤料包","69.90","1","null","null","null","null","交易成功","null",="2022081422001109381448271748","49.90","49.90","没有申请退款","无退款申请","2022-08-14 23:25:41","2022-08-14 23:25:43"
="2821751067808029521",="2821751067808029521","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：细挂面800g*3袋","null","null","交易成功","null",="2022081422001179101437636675","20.28","20.28","没有申请退款","无退款申请","2022-08-14 23:24:14","2022-08-14 23:25:04"
="2821394450312068157",="2821394450312068157","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022081422001107301407465260","6.56","6.56","没有申请退款","无退款申请","2022-08-14 23:21:00","2022-08-14 23:21:02"
="2820163284223409731",="2820163284223409731","陈克明鸡蛋风味面500g*3袋 非油炸波纹面条方便面麻辣烫火锅面条","22.90","1","null","口味：【非油炸】鸡蛋风味面500g*3袋(小包）","null","null","交易成功","null",="2022081422001193021421588101","22.22","22.22","没有申请退款","无退款申请","2022-08-14 23:20:03","2022-08-14 23:20:09"
