"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2857717298889500160",="2857717298889500160","草原红太阳牛油麻辣火锅底料重庆番茄骨汤清汤菌汤鸳鸯锅组合不辣","6.90","1","null","口味：牛油麻辣底料150g*1包","null","null","交易成功","null",="2022083122001107851406735666","6.70","6.70","没有申请退款","无退款申请","2022-08-31 23:59:31","2022-08-31 23:59:39"
="2856456288459735847",="2856456288459735847","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","卖家已发货，等待买家确认","null",="2022083122001172271453929893","20.28","20.28","没有申请退款","无退款申请","2022-08-31 23:58:43","2022-08-31 23:58:59"
="1659310753199967269",="1659310753199967269","海底捞火锅底料小包装一人份麻辣清油牛油番茄冬阴功菌汤一人食","59.90","1","null","口味：【店长推荐】一人食7种口味各1包（送电煮锅1个）","null","null","卖家已发货，等待买家确认","null",="2022083122001110411457560682","58.11","58.11","没有申请退款","无退款申请","2022-08-31 23:58:42","2022-08-31 23:58:44"
="1659237243754800271",="1659237243754800271","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022083122001184821400886051","20.28","20.28","没有申请退款","无退款申请","2022-08-31 23:57:52","2022-08-31 23:57:57"
="2857711898423711629",="2857711898423711629","雀巢Maggi美极土豆泥 4盒组合装 代餐早餐夜宵即食冲泡速溶粉桶装","68.00","1","MJZH01","null","null","null","卖家已发货，等待买家确认","MJZH01",="2022083122001198911456537857","20.96","20.96","没有申请退款","无退款申请","2022-08-31 23:54:19","2022-08-31 23:54:25"
="1658514000289638984",="1658514000289638984","草原红太阳韭花酱200g*5袋 内蒙古韭菜花酱自制农家特产火锅蘸料","5.90","1","null","口味：【尝鲜】韭花酱200g*1袋","null","null","交易成功","null",="2022083122001192051400474524","5.31","5.31","没有申请退款","无退款申请","2022-08-31 23:53:14","2022-08-31 23:53:19"
="2857333249537195613",="2857333249537195613","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","9.90","1","null","口味：酸香番茄200g*1袋（3-5人份）","null","null","卖家已发货，等待买家确认","null",="2022083122001169061439089117","9.90","9.90","没有申请退款","无退款申请","2022-08-31 23:51:15","2022-08-31 23:51:19"
="2857331881031465118",="2857331881030465118","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","9.90","1","null","口味：酸香番茄200g*1袋（3-5人份）","null","null","卖家已发货，等待买家确认","null",="2022083122001108861457989043","9.41","9.41","没有申请退款","无退款申请","2022-08-31 23:48:23","2022-08-31 23:48:57"
="2857331881032465118",="2857331881030465118","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","卖家已发货，等待买家确认","null",="2022083122001108861457989043","6.56","6.56","没有申请退款","无退款申请","2022-08-31 23:48:23","2022-08-31 23:48:57"
="1659231699625763072",="1659231699625763072","王致和韭花酱320g*2瓶 商用涮羊肉烧烤蘸菜酱涮羊肉烧烤火锅蘸料","8.90","1","wzhjhj01","口味：韭菜花酱320g*1瓶","null","null","卖家已发货，等待买家确认","wzhjhj01",="2022083122001135411456751858","8.64","8.64","没有申请退款","无退款申请","2022-08-31 23:48:15","2022-08-31 23:48:20"
