"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2920152780095892326",="2920152780095892326","【国庆价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022093022001126991448029511","18.83","18.83","没有申请退款","无退款申请","2022-09-30 22:58:36","2022-09-30 22:58:41"
="2920936501732416110",="2920936501731416110","海天0脂肪油醋汁225g*2瓶凉拌酱料沙拉汁日式蔬菜水果沙拉酱蘸料","11.80","1","ht0zycz01","口味：【0脂】油醋汁225g*1瓶","null","null","交易关闭","ht0zycz01",="2022093022001181581435195882","10.62","10.62","退款成功","10.62","2022-09-30 22:58:32","2022-09-30 22:58:37"
="2920936501733416110",="2920936501731416110","海天凉拌酱油500ml 凉拌菜专用酱油沙拉汁炒菜火锅点蘸鱼虾海鲜","11.80","1","null","净含量：500ml;颜色分类：凉拌酱油500ml*1瓶","null","null","交易关闭","null",="2022093022001181581435195882","10.62","10.62","退款成功","10.62","2022-09-30 22:58:32","2022-09-30 22:58:37"
="2920141404657771742",="2920141404657771742","太太乐三鲜鸡精100g*2袋 炒菜提鲜煲汤代替味精鸡精家用厨房调料","11.60","1","TTLZH09","null","null","null","交易成功","TTLZH09",="2022093022001167341410972643","9.50","9.50","没有申请退款","无退款申请","2022-09-30 22:58:18","2022-09-30 22:59:21"
="1686937044878658776",="1686937044878658776","【国庆价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022093022001110261445436142","18.28","18.28","没有申请退款","无退款申请","2022-09-30 22:58:09","2022-09-30 22:58:20"
="2920146480268175409",="2920146480268175409","【国庆价】海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","1","null","口味：原味蘸料120g*3袋（送2包干碟）","null","null","交易成功","null",="2022093022001182171436409083","11.35","11.35","没有申请退款","无退款申请","2022-09-30 22:57:13","2022-09-30 22:57:31"
="2921613303324880811",="2921613303324880811","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","42.40","1","MJZH13","口味：咖喱牛肉*6盒","null","null","交易成功","MJZH13",="2022093022001173021428037215","32.40","32.40","没有申请退款","无退款申请","2022-09-30 22:56:39","2022-09-30 22:56:52"
="1687685809976984877",="1687685809976984877","【国庆价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：细挂面800g*3袋","null","null","交易成功","null",="2022093022001168891449738734","20.28","20.28","没有申请退款","无退款申请","2022-09-30 22:55:37","2022-09-30 22:55:43"
="2920935205423753247",="2920935205423753247","【国庆价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022093022001199051448453560","20.28","20.28","没有申请退款","无退款申请","2022-09-30 22:55:24","2022-09-30 22:56:12"
="2921331386768954002",="2921331386768954002","【国庆价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：细挂面800g*3袋","null","null","交易成功","null",="2022093022001147991451303083","20.28","20.28","没有申请退款","无退款申请","2022-09-30 22:54:40","2022-09-30 22:54:43"
