"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2856817225882944145",="2856817225882944145","太太乐原味鲜鸡鲜调味料109g提鲜炒菜煲汤替代鸡精鸡粉厨房调味料","19.80","1","ttlxjx01","null","null","null","交易成功","ttlxjx01",="2022083122001131361408474637","9.83","9.83","没有申请退款","无退款申请","2022-08-31 19:15:14","2022-08-31 19:15:16"
="1658994711050136393",="1658994711050136393","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","12.90","1","AQZH03","颜色分类：5g*20袋【无赠品】","null","null","交易关闭","AQZH03",="2022083122001165471400650422","12.81","12.81","退款成功","12.81","2022-08-31 19:14:50","2022-08-31 19:14:51"
="1658967926296854691",="1658967926296854691","特辣兵野山椒豆豉280g*3瓶 湖南特产家用做菜拌饭拌面豆豉辣椒酱","12.90","1","null","口味：野山椒豆豉280g*1瓶","null","null","交易成功","null",="2022083122001165071442670269","12.90","12.90","没有申请退款","无退款申请","2022-08-31 19:14:17","2022-08-31 19:14:28"
="1658967602113186596",="1658967602113186596","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","19.80","1","null","口味：【买就送5】醇香牛油+三鲜底料","null","null","交易成功","null",="2022083122001117521405539181","18.81","18.81","没有申请退款","无退款申请","2022-08-31 19:13:21","2022-08-31 19:13:33"
="1658965730821144674",="1658965730821144674","海底捞鱼香肉丝调味料100g*3包川菜调味酱汁鱼香茄子家常菜调料包","30.00","1","null","null","null","null","交易成功","null",="2022083122001158651457892071","13.38","13.38","没有申请退款","无退款申请","2022-08-31 19:12:48","2022-08-31 19:12:53"
="2857538055982161565",="2857538055982161565","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：杂粮+蔬菜+高钙","null","null","交易关闭","null",="2022083122001119231441699570","19.21","19.21","退款成功","19.21","2022-08-31 19:11:21","2022-08-31 19:11:29"
="2857538883582571819",="2857538883582571819","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.50","1","AQZH31","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布）","null","null","交易成功","AQZH31",="2022083122001144991402804992","5.34","5.34","没有申请退款","无退款申请","2022-08-31 19:11:15","2022-08-31 19:11:17"
="1658965082281374097",="1658965082281374097","太太乐三鲜鸡精500g 煲汤炒菜增鲜火锅代替味精鸡精家用厨房调料","19.90","1","ttljj02","null","null","null","交易成功","ttljj02",="2022083122001120301433723004","19.90","19.90","没有申请退款","无退款申请","2022-08-31 19:10:57","2022-08-31 19:10:59"
="2857180754347268507",="2857180754347268507","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","12.90","1","AQZH33","颜色分类：【甜味型】甜酒曲8g*20袋（无赠品）","null","null","交易成功","AQZH33",="2022083122001133061443094945","12.52","12.52","没有申请退款","无退款申请","2022-08-31 19:10:26","2022-08-31 19:10:33"
="1658963534710129595",="1658963534710129595","太太乐三鲜鸡精100g*2袋 炒菜提鲜煲汤代替味精鸡精家用厨房调料","11.60","1","TTLZH09","null","null","null","交易成功","TTLZH09",="2022083122001186061444797390","10.48","10.48","没有申请退款","无退款申请","2022-08-31 19:10:17","2022-08-31 19:42:20"
="2857177118995131548",="2857177118995131548","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","2","null","口味：高钙挂面280g*3袋","null","null","交易成功","null",="2022083122001177231441891249","39.60","39.60","没有申请退款","无退款申请","2022-08-31 19:09:57","2022-08-31 19:13:06"
="2856806317298675430",="2856806317298675430","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001120191446997528","6.90","6.90","没有申请退款","无退款申请","2022-08-31 19:09:07","2022-08-31 19:09:50"
="2855907000863666634",="2855907000863666634","王致和甜面酱125g*5袋手抓饼炸酱面蘸酱北京烤鸭炸串卷饼专用蘸酱","13.50","1","WZHZH30","口味：甜面酱125g*5袋","null","null","交易成功","WZHZH30",="2022083122001196031435750979","13.10","13.10","没有申请退款","无退款申请","2022-08-31 19:06:51","2022-08-31 19:06:59"
="1658271972726538769",="1658271972726538769","太太乐汤之鲜调味料瑶柱鸡汤猪骨牛肉速食汤料高汤浓缩家用小包装","14.90","2","null","净含量：112g;口味：汤之鲜瑶柱鸡汤味112g*1盒","null","null","交易成功","null",="2022083122001118131444703598","15.56","15.56","没有申请退款","无退款申请","2022-08-31 19:06:39","2022-08-31 19:06:40"
="1658985783573191584",="1658985783573191584","海天锦上鲜蜜汁叉烧酱280g*2家用烤肉红烧腌制牛排骨面酱烘培调料","30.00","2","HTZH10","null","null","null","交易成功","HTZH10",="2022083122001167271445310227","35.27","35.27","没有申请退款","无退款申请","2022-08-31 19:06:07","2022-08-31 19:06:13"
="2857524051235859727",="2857524051234859727","海底捞锅巴网红零食小包装锅巴妙脆角爆米花炒米哇哦火锅零食小吃","10.80","1","null","口味：【10包】玉米豆(奶香味)*10包","null","null","交易成功","null",="2022083122001179381407982339","10.48","10.48","退款成功","10.48","2022-08-31 19:03:27","2022-08-31 19:03:31"
="2857524051236859727",="2857524051234859727","陈克明鸡蛋刀削挂面1kg×2袋陕西油泼面宽面条挂面烩面速食刀削面","17.90","1","null","口味：【经典原味】刀削挂面1kg+刀削面片240g","null","null","交易成功","null",="2022083122001179381407982339","17.37","17.37","没有申请退款","无退款申请","2022-08-31 19:03:27","2022-08-31 19:03:31"
="2857524051237859727",="2857524051234859727","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022083122001179381407982339","20.28","20.28","没有申请退款","无退款申请","2022-08-31 19:03:27","2022-08-31 19:03:31"
