"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2874941030362403338",="2874941030362403338","太太笑蒜蓉酱小袋装8g*20包 袋装蒜泥酱粉丝扇贝火锅蘸料烧烤调料","30.00","1","null","null","null","null","交易成功","null",="2022090722001111141459849848","13.61","13.61","没有申请退款","无退款申请","2022-09-07 23:59:43","2022-09-07 23:59:45"
="2873684268849103040",="2873684268849103040","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.80","1","null","口味：原味蘸料120g*2袋","null","null","交易成功","null",="2022090722001114841414192214","7.80","7.80","没有申请退款","无退款申请","2022-09-07 23:59:42","2022-09-07 23:59:45"
="2874941174300890849",="2874941174299890849","【99价】海底捞麻辣清油火锅底料220g四川重庆正宗串串香家用成都冒菜调料","12.90","1","null","口味：清油火锅底料220g*1袋","null","null","交易关闭","null",="2022090722001162241456382571","12.79","12.79","退款成功","12.79","2022-09-07 23:59:34","2022-09-07 23:59:37"
="2874941174301890849",="2874941174299890849","海底捞菌汤火锅底料110g煲汤调料正宗四川鲜菌汤小包装不辣家用","30.00","1","null","null","null","null","交易关闭","null",="2022090722001162241456382571","12.79","12.79","退款成功","12.79","2022-09-07 23:59:34","2022-09-07 23:59:37"
="2874939050650990033",="2874939050650990033","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","32.80","1","MJZH34","口味：4口味各1盒（经典款）","null","null","交易成功","MJZH34",="2022090722001157671442990690","22.80","22.80","没有申请退款","无退款申请","2022-09-07 23:59:22","2022-09-07 23:59:27"
="1665386617724817698",="1665386617724817698","【99价】太太乐三鲜鸡精100g*4袋 炒菜增鲜煲汤鸡精粉调料替代味精调味料","19.90","3","TTLZH11","null","null","null","交易成功","TTLZH11",="2022090722001195871408992985","52.81","52.81","没有申请退款","无退款申请","2022-09-07 23:59:12","2022-09-07 23:59:34"
="1665295215523911669",="1665295215523911669","【99价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022090722001113781459992748","20.28","20.13","没有申请退款","无退款申请","2022-09-07 23:58:29","2022-09-07 23:58:34"
="1665274910440921268",="1665274910440921268","【99价】海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","2","null","口味：香辣蘸料120g*3袋","null","null","交易成功","null",="2022090722001154381431546632","19.66","19.66","没有申请退款","无退款申请","2022-09-07 23:58:17","2022-09-07 23:58:24"
="1665274082557759888",="1665274082557759888","【99价】太太乐三鲜鸡精500g 煲汤炒菜增鲜火锅代替味精鸡精家用厨房调料","19.90","1","ttljj02","null","null","null","交易成功","ttljj02",="2022090722001150561448743338","19.31","19.31","没有申请退款","无退款申请","2022-09-07 23:57:57","2022-09-07 23:58:11"
="2874938366337599842",="2874938366337599842","【99价】六必居二八酱芝麻花生酱北京老字号火锅蘸料拌面热干面专用酱家用","11.90","1","null","口味：【尝鲜】‘老北京二八酱200g*1瓶","null","null","交易成功","null",="2022090722001112931418213980","11.55","11.55","没有申请退款","无退款申请","2022-09-07 23:57:39","2022-09-08 00:00:48"
="2875237275905910838",="2875237275905910838","【99价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022090722001184081457314771","20.84","20.84","没有申请退款","无退款申请","2022-09-07 23:57:18","2022-09-07 23:57:32"
="1665385753529219877",="1665385753529219877","【99价】正品海天海鲜酱400g小瓶装烧烤蘸料红烧肉鱼拌面调味酱油火锅调料","9.99","1","hthxj001","口味：【实惠大瓶】-.海鲜酱400g*1瓶","null","null","交易成功","hthxj001",="2022090722001159541421084653","9.70","9.70","没有申请退款","无退款申请","2022-09-07 23:57:11","2022-09-07 23:57:16"
="2875238031028103040",="2875238031028103040","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","12.90","1","null","口味：鲜香清汤110g*1袋（3-5人份）","null","null","交易成功","null",="2022090722001114841415843042","12.90","12.90","没有申请退款","无退款申请","2022-09-07 23:55:05","2022-09-07 23:55:09"
="2874933722752603925",="2874933722752603925","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.90","1","null","口味：青椒牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022090722001118081458470497","7.51","7.51","没有申请退款","无退款申请","2022-09-07 23:55:02","2022-09-07 23:55:31"
="1665292407993161291",="1665292407993161291","【99价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022090722001150601421446937","20.28","20.28","没有申请退款","无退款申请","2022-09-07 23:54:48","2022-09-07 23:55:00"
="2874525013400664662",="2874525013400664662","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.90","1","null","口味：青椒牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022090722001117241449150022","7.51","7.51","没有申请退款","无退款申请","2022-09-07 23:53:44","2022-09-07 23:53:59"
="2874931418637032332",="2874931418637032332","【99价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022090722001155731455384907","17.55","17.55","没有申请退款","无退款申请","2022-09-07 23:52:22","2022-09-07 23:52:41"
="2875231911780624704",="2875231911780624704","【99价】陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：杂粮+蔬菜+高钙","null","null","交易成功","null",="2022090722001176121452390779","19.21","19.21","没有申请退款","无退款申请","2022-09-07 23:52:16","2022-09-07 23:52:35"
="1665383233406067298",="1665383233406067298","【99价】陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022090722001157891408853014","20.28","20.28","没有申请退款","无退款申请","2022-09-07 23:52:07","2022-09-08 00:01:31"
="1664561208560067698",="1664561208560067698","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022090722001113161457881770","6.56","6.56","没有申请退款","无退款申请","2022-09-07 23:52:06","2022-09-07 23:59:58"
="1664560308780052397",="1664560308780052397","【99价】小肥羊清汤火锅底料160g不辣大骨汤调味料番茄煲汤辣汤内蒙古正宗","8.50","1","null","口味：清汤160g","null","null","交易成功","null",="2022090722001104801416425704","6.71","6.66","没有申请退款","无退款申请","2022-09-07 23:51:23","2022-09-07 23:52:57"
="1665290787748098984",="1665290787747098984","【99价】海底捞麻辣小龙虾调味料十三香蒜蓉油焖香辣蟹调料包蒜香配料酱料","29.70","1","null","口味：【吃货推荐】麻辣1包+香辣1包+蒜蓉1包（送2组手套+1桌布+1刷子）","null","null","交易成功","null",="2022090722001190001400769611","20.18","18.17","没有申请退款","无退款申请","2022-09-07 23:51:19","2022-09-07 23:51:25"
="1665290787749098984",="1665290787747098984","【99价】海底捞麻辣小龙虾调味料十三香蒜蓉油焖香辣蟹调料包蒜香配料酱料","18.00","1","null","口味：麻辣花甲调味料50g*4袋","null","null","交易成功","null",="2022090722001190001400769611","12.23","11.01","没有申请退款","无退款申请","2022-09-07 23:51:19","2022-09-07 23:51:25"
="2874519037750788348",="2874519037750788348","【99价】凤球唛番茄调味酱850g沙司商用手抓饼薯条披萨意大利面酱番茄酱","12.90","4","null","null","null","null","交易成功","null",="2022090722001173311409493681","37.01","37.01","没有申请退款","无退款申请","2022-09-07 23:50:57","2022-09-07 23:51:20"
="2874520405580382616",="2874520405580382616","【99价】六必居麻仁金丝菜220g*2瓶芝麻苤蓝咸菜丝酱菜配粥早餐下饭菜榨菜","33.80","1","null","口味：【酱渍菜】麻仁金丝220g*3瓶","null","null","交易成功","null",="2022090722001112851428770167","32.79","32.79","没有申请退款","无退款申请","2022-09-07 23:50:53","2022-09-07 23:51:04"
="2874512233266485531",="2874512233266485531","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","null","交易成功","null",="2022090722001122121457240548","6.56","6.56","没有申请退款","无退款申请","2022-09-07 23:50:40","2022-09-07 23:50:48"
